"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerNameComparatorJaccardTokenizer record1Value","[1] PlayerNameComparatorJaccardTokenizer record2Value","[1] PlayerNameComparatorJaccardTokenizer record1PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer record2PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer similarity","[1] PlayerNameComparatorJaccardTokenizer postproccesedSimilarity","[2] PlayerClubComparatorJaccard record1Value","[2] PlayerClubComparatorJaccard record2Value","[2] PlayerClubComparatorJaccard record1PreprocessedValue","[2] PlayerClubComparatorJaccard record2PreprocessedValue","[2] PlayerClubComparatorJaccard similarity","[2] PlayerClubComparatorJaccard postproccesedSimilarity","[3] PlayerNationalityComparatorJaccard record1Value","[3] PlayerNationalityComparatorJaccard record2Value","[3] PlayerNationalityComparatorJaccard record1PreprocessedValue","[3] PlayerNationalityComparatorJaccard record2PreprocessedValue","[3] PlayerNationalityComparatorJaccard similarity","[3] PlayerNationalityComparatorJaccard postproccesedSimilarity","[4] PlayerBirthDateComparatorEqual record1Value","[4] PlayerBirthDateComparatorEqual record2Value","[4] PlayerBirthDateComparatorEqual record1PreprocessedValue","[4] PlayerBirthDateComparatorEqual record2PreprocessedValue","[4] PlayerBirthDateComparatorEqual similarity","[4] PlayerBirthDateComparatorEqual postproccesedSimilarity"
"WekaMatchingRule","real_2908","prediction_9306","0.13780977864927088",,"Alvaro Aguado","Pedro Bigas","Alvaro Aguado","Pedro Bigas","0.0","0.0","Alvaro Aguado","Pedro Bigas","Alvaro Aguado","Pedro Bigas","0.0","0.0","Real Valladolid","SDEibar","Real Valladolid","SDEibar","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1996-05-01","1990-05-15","1996-05-01","1990-05-15","0.0","0.0"
"WekaMatchingRule","real_2908","prediction_9305","0.13780977864927088",,"Alvaro Aguado","Iván Ramis","Alvaro Aguado","Iván Ramis","0.0","0.0","Alvaro Aguado","Iván Ramis","Alvaro Aguado","Iván Ramis","0.0","0.0","Real Valladolid","SDEibar","Real Valladolid","SDEibar","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1996-05-01","1984-10-25","1996-05-01","1984-10-25","0.0","0.0"
"WekaMatchingRule","real_2137","prediction_1577","0.13780977864927088",,"Ayoze Perez","Alberto Lora","Ayoze Perez","Alberto Lora","0.0","0.0","Ayoze Perez","Alberto Lora","Ayoze Perez","Alberto Lora","0.0","0.0","Leicester","OmoniaNikosia","Leicester","OmoniaNikosia","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1993-07-29","1987-03-25","1993-07-29","1987-03-25","0.0","0.0"
"WekaMatchingRule","real_2106","prediction_9855","0.15204769902131668",,"Andrea Rispoli","Mirco Antenucci","Andrea Rispoli","Mirco Antenucci","0.045454545454545456","0.045454545454545456","Andrea Rispoli","Mirco Antenucci","Andrea Rispoli","Mirco Antenucci","0.0","0.0","Lecce","SPAL","Lecce","SPAL","0.0","0.0","Italy","Italy","Italy","Italy","1.0","1.0","1988-09-29","1984-09-08","1988-09-29","1984-09-08","0.0","0.0"
"WekaMatchingRule","real_2106","prediction_9856","0.13780977864927088",,"Andrea Rispoli","Alberto Paloschi","Andrea Rispoli","Alberto Paloschi","0.0","0.0","Andrea Rispoli","Alberto Paloschi","Andrea Rispoli","Alberto Paloschi","0.0","0.0","Lecce","SPAL","Lecce","SPAL","0.0","0.0","Italy","Italy","Italy","Italy","1.0","1.0","1988-09-29","1990-01-04","1988-09-29","1990-01-04","0.0","0.0"
"WekaMatchingRule","real_1616","prediction_6044","0.13780977864927088",,"Milan Badelj","Nikola Katic","Milan Badelj","Nikola Katic","0.0","0.0","Milan Badelj","Nikola Katic","Milan Badelj","Nikola Katic","0.0","0.0","Fiorentina","Rangers","Fiorentina","Rangers","0.0","0.0","Croatia","Croatia","Croatia","Croatia","1.0","1.0","1989-02-25","1996-10-10","1989-02-25","1996-10-10","0.0","0.0"
"WekaMatchingRule","real_630","prediction_10023","0.13780977864927088",,"Gabriele Corbo","Francesco Magnanelli","Gabriele Corbo","Francesco Magnanelli","0.0","0.0","Gabriele Corbo","Francesco Magnanelli","Gabriele Corbo","Francesco Magnanelli","0.0","0.0","Bologna","Sassuolo","Bologna","Sassuolo","0.0","0.0","Italy","Italy","Italy","Italy","1.0","1.0","2000-01-11","1984-11-12","2000-01-11","1984-11-12","0.0","0.0"
"WekaMatchingRule","real_1341","prediction_2031","0.13780977864927088",,"Jean-Clair Todibo","Ismaël Aaneba","Jean-Clair Todibo","Ismaël Aaneba","0.0","0.0","Jean-Clair Todibo","Ismaël Aaneba","Jean-Clair Todibo","Ismaël Aaneba","0.0","0.0","FC Barcelona","R.Strasbourg","FC Barcelona","R.Strasbourg","0.0","0.0","France","France","France","France","1.0","1.0","1999-12-30","1999-05-29","1999-12-30","1999-05-29","0.0","0.0"
"WekaMatchingRule","real_3898","prediction_6344","0.13780977864927088",,"Florian Grillitsch","Marvin Potzmann","Florian Grillitsch","Marvin Potzmann","0.0","0.0","Florian Grillitsch","Marvin Potzmann","Florian Grillitsch","Marvin Potzmann","0.0","0.0","TSG Hoffenheim","RapidVienna","TSG Hoffenheim","RapidVienna","0.0","0.0","Austria","Austria","Austria","Austria","1.0","1.0","1995-08-07","1993-12-07","1995-08-07","1993-12-07","0.0","0.0"
"WekaMatchingRule","real_4063","prediction_2720","0.13780977864927088",,"Kevin Mbabu","Davide Mariani","Kevin Mbabu","Davide Mariani","0.0","0.0","Kevin Mbabu","Davide Mariani","Kevin Mbabu","Davide Mariani","0.0","0.0","VfL Wolfsburg","LevskiSofia","VfL Wolfsburg","LevskiSofia","0.0","0.0","Switzerland","Switzerland","Switzerland","Switzerland","1.0","1.0","1995-04-19","1991-05-19","1995-04-19","1991-05-19","0.0","0.0"
