"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerClubComparatorJaccard record1Value","[1] PlayerClubComparatorJaccard record2Value","[1] PlayerClubComparatorJaccard record1PreprocessedValue","[1] PlayerClubComparatorJaccard record2PreprocessedValue","[1] PlayerClubComparatorJaccard similarity","[1] PlayerClubComparatorJaccard postproccesedSimilarity","[2] PlayerNationalityComparatorJaccard record1Value","[2] PlayerNationalityComparatorJaccard record2Value","[2] PlayerNationalityComparatorJaccard record1PreprocessedValue","[2] PlayerNationalityComparatorJaccard record2PreprocessedValue","[2] PlayerNationalityComparatorJaccard similarity","[2] PlayerNationalityComparatorJaccard postproccesedSimilarity","[3] PlayerContractExpComparatorEqual record1Value","[3] PlayerContractExpComparatorEqual record2Value","[3] PlayerContractExpComparatorEqual record1PreprocessedValue","[3] PlayerContractExpComparatorEqual record2PreprocessedValue","[3] PlayerContractExpComparatorEqual similarity","[3] PlayerContractExpComparatorEqual postproccesedSimilarity","[4] PlayerPositionComparatorJaccard record1Value","[4] PlayerPositionComparatorJaccard record2Value","[4] PlayerPositionComparatorJaccard record1PreprocessedValue","[4] PlayerPositionComparatorJaccard record2PreprocessedValue","[4] PlayerPositionComparatorJaccard similarity","[4] PlayerPositionComparatorJaccard postproccesedSimilarity"
"WekaMatchingRule","prediction_8951","204184","0.8807970779778825",,"Peter vanOoijen","D. Schmidt","Peter vanOoijen","D. Schmidt","0.0","0.0","VVV0Venlo","SC Heerenveen","VVV0Venlo","SC Heerenveen","0.0","0.0","Netherlands","Netherlands","Netherlands","Netherlands","1.0","1.0","2020","2019","2020","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_3828","231514","0.8807970779778825",,"Kevin Walker","R. Gojani","Kevin Walker","R. Gojani","0.0","0.0","Djurgarden","IF Elfsborg","Djurgarden","IF Elfsborg","0.0","0.0","Sweden","Sweden","Sweden","Sweden","1.0","1.0","2020","2020","2020","2020","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_3446","173771","0.8807970779778825",,"Dariusz Szczerbal","L. Piszczek","Dariusz Szczerbal","L. Piszczek","0.16666666666666666","0.16666666666666666","SlaskWroclaw","Borussia Dortmund","SlaskWroclaw","Borussia Dortmund","0.0","0.0","Poland","Poland","Poland","Poland","1.0","1.0","2020","2020","2020","2020","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_8626","211250","0.8807970779778825",,"Aleksandar Palocevic","U. Radaković","Aleksandar Palocevic","U. Radaković","0.0","0.0","Nacional","Sparta Praha","Nacional","Sparta Praha","0.0","0.0","Serbia","Serbia","Serbia","Serbia","1.0","1.0","2022","2021","2022","2021","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_5968","140300","0.8807970779778825",,"Leigh Griffiths","P. Cherrie","Leigh Griffiths","P. Cherrie","0.0","0.0","Celtic","Derry City","Celtic","Derry City","0.0","0.0","Scotland","Scotland","Scotland","Scotland","1.0","1.0","2022","2019","2022","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_976","216172","0.8807970779778825",,"Adam Bodzek","M. Piątkowski","Adam Bodzek","M. Piątkowski","0.0","0.0","F.Düsseldorf","Miedź Legnica","F.Düsseldorf","Miedź Legnica","0.0","0.0","Poland","Poland","Poland","Poland","1.0","1.0","2019","2019","2019","2019","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_1926","240066","0.8807970779778825",,"Steven Moreira","D. Dumont","Steven Moreira","D. Dumont","0.0","0.0","Toulouse","GFC Ajaccio","Toulouse","GFC Ajaccio","0.0","0.0","France","France","France","France","1.0","1.0","2021","2019","2021","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_3705","208111","0.8807970779778825",,"Junes Barny","S. Sandberg","Junes Barny","S. Sandberg","0.0","0.0","IFKGöteborg","Hammarby IF","IFKGöteborg","Hammarby IF","0.0","0.0","Sweden","Sweden","Sweden","Sweden","1.0","1.0","2020","2019","2020","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_6318","211768","0.12768674607438613",,"Patrick Farkas","L. Italiano","Patrick Farkas","L. Italiano","0.0","0.0","RBSalzburg","Newcastle Jets","RBSalzburg","Newcastle Jets","0.0","0.0","Austria","Australia","Austria","Australia","0.0","0.0","2020","2019","2020","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_5092","242189","0.8807970779778825",,"Milan Vidakov","N. Petric","Milan Vidakov","N. Petric","0.0","0.0","Vojvodina","IF Brommapojkarna","Vojvodina","IF Brommapojkarna","0.0","0.0","Serbia","Serbia","Serbia","Serbia","1.0","1.0","2022","2020","2022","2020","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_3774","237350","0.8807970779778825",,"Dennis Bengtsson","K. Larson","Dennis Bengtsson","K. Larson","0.058823529411764705","0.058823529411764705","Falkenberg","IK Sirius","Falkenberg","IK Sirius","0.0","0.0","Sweden","Sweden","Sweden","Sweden","1.0","1.0","2019","2020","2019","2020","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_582","177644","0.8807970779778825",,"Fernando Llorente","Kiko Casilla","Fernando Llorente","Kiko Casilla","0.0","0.0","Spurs","Real Madrid","Spurs","Real Madrid","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","2019","2020","2019","2020","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_6419","194678","0.8807970779778825",,"Conor McAleny","A. Eastham","Conor McAleny","A. Eastham","0.0","0.0","KilmarnockFC","Fleetwood Town","KilmarnockFC","Fleetwood Town","0.0","0.0","England","England","England","England","1.0","1.0","2019","2019","2019","2019","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_9165","201118",,"0","Clint Leemans","Cédric","Clint Leemans","Cédric","0.0","0.0","PECZwolle","Southampton","PECZwolle","Southampton","0.0","0.0","Netherlands","Portugal","Netherlands","Portugal","0.0","0.0","2021","2020","2021","2020","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_6419","194679","0.8807970779778825",,"Conor McAleny","M. Halstead","Conor McAleny","M. Halstead","0.0","0.0","KilmarnockFC","Morecambe","KilmarnockFC","Morecambe","0.0","0.0","England","England","England","England","1.0","1.0","2019","2019","2019","2019","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_1077","152031","0.8807970779778825",,"Emil Berggreen","T. Kortegaard","Emil Berggreen","T. Kortegaard","0.0","0.0","1.FSVMainz05","AC Horsens","1.FSVMainz05","AC Horsens","0.0","0.0","Denmark","Denmark","Denmark","Denmark","1.0","1.0","2019","2020","2019","2020","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_3264","221024","0.8807970779778825",,"Emil Damgaard","A. Sørensen","Emil Damgaard","A. Sørensen","0.0","0.0","Nordsjaelland","SSV Jahn Regensburg","Nordsjaelland","SSV Jahn Regensburg","0.0","0.0","Denmark","Denmark","Denmark","Denmark","1.0","1.0","1582","0001","1582","0001","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_5366","170342","0.8807970779778825",,"Andrew Nelson","P. Huntington","Andrew Nelson","P. Huntington","0.0","0.0","DundeeFC","Preston North End","DundeeFC","Preston North End","0.0","0.0","England","England","England","England","1.0","1.0","2021","2021","2021","2021","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_5371","209254","0.8807970779778825",,"Craig Curran","R. Willmott","Craig Curran","R. Willmott","0.0","0.0","DundeeFC","Newport County","DundeeFC","Newport County","0.0","0.0","England","England","England","England","1.0","1.0","2021","2019","2021","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_5944","213871","0.8807970779778825",,"Mikkel Duelund","K. Junker","Mikkel Duelund","K. Junker","0.0","0.0","DynamoKyiv","AC Horsens","DynamoKyiv","AC Horsens","0.0","0.0","Denmark","Denmark","Denmark","Denmark","1.0","1.0","2023","2023","2023","2023","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_5371","209253","0.8807970779778825",,"Craig Curran","M. Blair","Craig Curran","M. Blair","0.0","0.0","DundeeFC","Doncaster Rovers","DundeeFC","Doncaster Rovers","0.0","0.0","England","England","England","England","1.0","1.0","2021","2019","2021","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_9734","224242","0.8807970779778825",,"Daley Blind","D. Luckassen","Daley Blind","D. Luckassen","0.0","0.0","AFCAjax","Hertha BSC","AFCAjax","Hertha BSC","0.0","0.0","Netherlands","Netherlands","Netherlands","Netherlands","1.0","1.0","2022","0001","2022","0001","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_3817","231500","0.8807970779778825",,"Adam BergmarkWiberg","D. Widgren","Adam BergmarkWiberg","D. Widgren","0.0","0.0","Djurgarden","Östersunds FK","Djurgarden","Östersunds FK","0.0","0.0","Sweden","Sweden","Sweden","Sweden","1.0","1.0","2022","2018","2022","2018","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_9355","237170","0.8807970779778825",,"Alejandro Gálvez","Aitor Lorea","Alejandro Gálvez","Aitor Lorea","0.0","0.0","RayoVallecano","CA Osasuna","RayoVallecano","CA Osasuna","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","2019","2020","2019","2020","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_9741","172850","0.8807970779778825",,"Luuk deJong","R. Leeuwin","Luuk deJong","R. Leeuwin","0.0","0.0","PSVEindhoven","Odense Boldklub","PSVEindhoven","Odense Boldklub","0.0","0.0","Netherlands","Netherlands","Netherlands","Netherlands","1.0","1.0","2021","2020","2021","2020","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_7648","186331",,"0","Anthony Mounier","M. Zeman","Anthony Mounier","M. Zeman","0.0","0.0","Panathinaikos","Viktoria Plzeň","Panathinaikos","Viktoria Plzeň","0.0","0.0","France","Czech Republic","France","Czech Republic","0.0","0.0","2020","2021","2020","2021","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_7630","187915","0.8807970779778825",,"Erik Pärsson","E. Kujović","Erik Pärsson","E. Kujović","0.0","0.0","OFICrete","Fortuna Düsseldorf","OFICrete","Fortuna Düsseldorf","0.0","0.0","Sweden","Sweden","Sweden","Sweden","1.0","1.0","2020","2020","2020","2020","1.0","1.0",,,,,,
"WekaMatchingRule","prediction_7667","226075","0.8807970779778825",,"Dimitrios Kolovetsios","M. Bakakis","Dimitrios Kolovetsios","M. Bakakis","0.0","0.0","Panathinaikos","AEK Athens","Panathinaikos","AEK Athens","0.0","0.0","Greece","Greece","Greece","Greece","1.0","1.0","2022","2023","2022","2023","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_1112","192658","0.8807970779778825",,"Lukas Kübler","S. Jung","Lukas Kübler","S. Jung","0.0","0.0","SCFreiburg","VfL Wolfsburg","SCFreiburg","VfL Wolfsburg","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0","2020","2019","2020","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_8690","190747",,"0","Gedson Fernandes","Ortuño","Gedson Fernandes","Ortuño","0.0","0.0","Benfica","Albacete BP","Benfica","Albacete BP","0.0","0.0","Portugal","Spain","Portugal","Spain","0.0","0.0","2023","2019","2023","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_3651","234704","0.8807970779778825",,"Mateusz Lewandowski","M. Marcjanik","Mateusz Lewandowski","M. Marcjanik","0.043478260869565216","0.043478260869565216","LechiaGdansk","Empoli","LechiaGdansk","Empoli","0.0","0.0","Poland","Poland","Poland","Poland","1.0","1.0","2020","2021","2020","2021","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_9022","182905","0.8807970779778825",,"Jonas Svensson","V. Skjerve","Jonas Svensson","V. Skjerve","0.0","0.0","AZAlkmaar","FK Haugesund","AZAlkmaar","FK Haugesund","0.0","0.0","Norway","Norway","Norway","Norway","1.0","1.0","2021","2018","2021","2018","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_8481","240281","0.8807970779778825",,"Carraça","Tiago Lopes","Carraça","Tiago Lopes","0.0","0.0","Boavista","Kayserispor","Boavista","Kayserispor","0.0","0.0","Portugal","Portugal","Portugal","Portugal","1.0","1.0","2020","2019","2020","2019","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_9345","198198","0.8807970779778825",,"Mario Suárez","Jordi Amat","Mario Suárez","Jordi Amat","0.0","0.0","RayoVallecano","Rayo Vallecano","RayoVallecano","Rayo Vallecano","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","2019","2022","2019","2022","0.0","0.0",,,,,,
"WekaMatchingRule","prediction_583","233943","0.8807970779778825",,"Harry Kane","Ronaldo Vieira","Harry Kane","Ronaldo Vieira","0.0","0.0","Spurs","Sampdoria","Spurs","Sampdoria","0.0","0.0","England","England","England","England","1.0","1.0","2024","2023","2024","2023","0.0","0.0",,,,,,
